mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.082471450169881,0.5702421333068944,0.278335968653361,0.01468834367106415,0.8,0.1,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-0.26962016976008624,-0.27011950921304423,-0.2722977545812029,-0.27067914451811115,0.001162542866471773,1
6.420665820439656,0.08045021847453553,0.3777807553609212,0.0014668995257211405,0.8,0.1,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-0.26949045106362757,-0.27031320156989325,-0.27234547315985524,-0.2707163752644587,0.0011999165425087503,2
6.313363393147786,0.04111147220112543,0.40770872433980304,0.026127409310447228,0.6,0.1,5,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-0.2695723434807137,-0.2701501019174845,-0.27250677282227226,-0.2707430727401568,0.0012692332823547395,3
4.665235280990601,0.48106565509533594,0.2979094982147217,0.03367041109040533,0.8,0.1,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-0.2696293826186825,-0.2703780123001249,-0.2722390262236725,-0.2707488070474933,0.0010971710576974138,4
6.631861050923665,0.13979606125237531,0.37789098421732586,0.01096479044461085,0.8,0.1,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-0.26981256982244883,-0.2702407753747345,-0.272197737028407,-0.2707503607418635,0.0010382721495794552,5
6.649287780125936,0.07381965653096459,0.41785693168640137,0.02680151290016974,0.6,0.1,5,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-0.2695653187806814,-0.2704483618052531,-0.27228284686491144,-0.270765509150282,0.0011318647006861116,6
4.9416054884592695,0.5035508864753897,0.3195587793986003,0.040483735933897744,0.6,0.1,6,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-0.26967081066940196,-0.2703363427371956,-0.27236143058801515,-0.2707895279982042,0.0011442294487867132,7
6.234818855921428,0.1114226516042271,0.4331390857696533,0.05639316309724352,1.0,0.1,5,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-0.26968828833371145,-0.2703666510062156,-0.27237924626196813,-0.2708113952006317,0.001142704888050576,8
4.8837893803914385,0.7572113793220943,0.2837825616200765,0.004682616648435658,0.6,0.1,6,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-0.2697919939912195,-0.270489708639665,-0.2721800802673559,-0.27082059429941346,0.0010026142513243894,9
7.364609082539876,0.8870616519936235,0.5196908315022787,0.04701305091498142,1.0,0.1,5,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-0.2698821895986216,-0.27019283329098154,-0.27241955647255794,-0.27083152645405373,0.0011300455390982316,10
5.374621311823527,1.4014635612162019,0.2740787665049235,0.02982873856240286,1.0,0.1,6,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-0.2697759814611104,-0.270439544149896,-0.2723765198484306,-0.2708640151531457,0.00110327745088026,11
7.5220552285512285,0.11463035232954379,0.5288025538126627,0.011277630675941695,0.8,0.1,6,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",-0.2698932708654172,-0.27037379921818294,-0.27256136569982453,-0.27094281192780817,0.001161181613453612,12
6.181874593098958,0.9277559719824147,0.29984116554260254,0.019053830513219457,1.0,0.1,6,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-0.2699029697611449,-0.2705931156102621,-0.27236186912847854,-0.27095265149996184,0.0010355340221853526,13
7.811079104741414,0.15013745064708764,0.5432186921437582,0.025659774882040964,0.6,0.1,6,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",-0.2696848859896902,-0.27049231800478984,-0.27269323485252717,-0.2709568129490024,0.0012713135949435355,14
5.549930731455485,0.12331057877877505,0.2879205544789632,0.01633401919575439,0.8,0.1,4,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",-0.2701653504703401,-0.2703276483310355,-0.27240127257644714,-0.27096475712594087,0.0010179284940681835,15
6.030161062876384,0.174731323933094,0.36026986440022785,0.036415468049233714,1.0,0.1,4,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",-0.26995321114678844,-0.27042842922974303,-0.2725154962160181,-0.27096571219751653,0.0011129033904144466,16
